53.0082	51.3555	48.5862
35.8842	35.7909	34.1893
21.0127	23.4636	21.3489
9.57005	12.4745	11.4073
59.019	56.79	54.1618
46.0345	44.559	41.6416
30.8619	32.5063	30.1275
15.1708	18.6253	17.6046
70.6178	67.14	64.795
56.3672	52.2747	49.7522
39.4987	40.9965	38.5553
21.2593	24.969	23.6524
72.9082	68.3569	66.7629
62.1879	58.6305	55.9618
47.1165	45.9772	44.0621
26.7904	30.4197	28.5646
69.7402	66.4511	64.4328
59.1253	56.4956	54.1451
46.4721	45.5517	43.7386
27.8198	30.8321	29.7183
73.9708	72.2036	70.6325
65.4588	60.9733	58.8145
51.354	50.4228	48.9183
32.588	34.7506	33.4462
71.5596	70.14	68.2887
64.1552	60.3071	58.7269
52.0018	49.9233	48.0547
33.4958	35.7403	34.173
72.4238	70.3973	68.7849
64.4774	61.2697	59.6844
54.0285	51.7679	49.9399
35.8403	37.7151	36.2281
74.1307	70.9088	69.7862
65.8845	62.6668	60.6847
55.6611	53.171	51.5442
38.5633	40.2178	38.5043
74.6191	71.544	69.3738
65.6902	63.337	61.9613
58.1475	54.8559	53.5391
41.1073	41.5346	40.4865
79.703	78.923	77.8923
74.3734	72.4775	71.3358
67.9529	65.5815	63.9164
56.4287	54.4458	53.0664
84.5939	84.2083	84.0575
79.4964	78.088	77.155
73.5034	71.5666	70.6514
63.9228	62.214	61.3102
86.2811	86.0518	85.5407
80.5143	80.0978	79.6031
76.3517	75.4447	74.8275
69.4102	68.4155	67.847
